year,event,value
1972,Volleyball,24.32142857
1976,Basketball,24.43262411
1976,Speed Skating,24.41134752
1996,Basketball,26.4964539
1996,Volleyball,25.29787234
2000,Volleyball,26.20567376
2014,Freestyle Skiing,23.65957447
2016,Basketball,27.82978723
2016,Volleyball,27.55319149
1936,Water Polo,25.26760563
1980,Basketball,25.05633803
1984,Basketball,24.73943662
1992,Basketball,27.18309859
1992,Volleyball,25.04225352
1912,Tennis,26.86013986
1936,Canoeing,24.56643357
1988,Basketball,25.06993007
2004,Volleyball,27.30769231
2008,Volleyball,27.72727273
2016,Tennis,29.54545455
1932,Rowing,24.89583333
1960,Water Polo,24.60416667
1988,Volleyball,25.04166667
2000,Basketball,26.875
2004,Basketball,26.50694444
2008,Basketball,26.39583333
2012,Basketball,27.46527778
2012,Tennis,28.27083333
2012,Volleyball,27.00694444
1924,Rowing,24.95862069
1952,Speed Skating,24.75172414
1952,Ice Hockey,25.08843537
1964,Weightlifting,26.57142857
1980,Handball,25.06711409
2012,Weightlifting,24.58389262
1988,Archery,28.22666667
1924,Swimming,21.29801325
1976,Judo,24.26490066
2016,Rugby Sevens,25.98013245
1920,Cycling,24.84210526
1924,Tennis,29.28289474
1948,Boxing,22.38815789
1960,Ice Hockey,25.21710526
1984,Bobsleigh,27.25
1992,Water Polo,25.80263158
2016,Weightlifting,25.32236842
1952,Hockey,27.13071895
1984,Water Polo,24.70588235
1996,Water Polo,25.88235294
2000,Water Polo,26.81699346
2008,Water Polo,27.22875817
1936,Shooting,35.15584416
1948,Football,26
1948,Speed Skating,25.96103896
2004,Water Polo,27.72727273
2016,Water Polo,27.7012987
1912,Swimming,21.74193548
1980,Sailing,29.16774194
2012,Water Polo,28.50967742
1948,Cross Country Skiing,28.21153846
1988,Water Polo,25.05128205
1968,Weightlifting,26.49681529
1988,Ski Jumping,22.66242038
2010,Bobsleigh,29.96178344
1912,Football,22.75949367
1948,Wrestling,28.5
1960,Speed Skating,25.06329114
1968,Water Polo,23.89240506
1980,Biathlon,25.71518987
1992,Baseball,24.72955975
2006,Bobsleigh,29.11320755
1924,Boxing,20.74375
1936,Hockey,24.99375
1956,Swimming,21.2875
1960,Weightlifting,26.05
1996,Baseball,25.0875
1948,Sailing,34.1863354
1976,Handball,25.26086957
2000,Weightlifting,25.40372671
1924,Cycling,24.5
1952,Canoeing,27.17682927
1980,Weightlifting,25.44512195
1994,Ski Jumping,22.32926829
2004,Weightlifting,25.48780488
1912,Wrestling,24.23030303
1956,Wrestling,26.28484848
1932,Fencing,29.72289157
1948,Shooting,38.84939759
1972,Judo,25.24698795
2008,Weightlifting,24.93373494
1908,Cycling,23.9760479
1968,Speed Skating,24.36526946
1920,Football,24.38690476
1952,Cross Country Skiing,26.97619048
1968,Canoeing,25.39285714
1980,Speed Skating,23.30952381
2008,Fencing,27.07738095
1936,Sailing,31.94674556
1956,Ice Hockey,25.13609467
1924,Wrestling,26.71176471
1988,Handball,26.42941176
2010,Ski Jumping,24.18823529
2014,Ski Jumping,25.21764706
2014,Snowboarding,25.07058824
1992,Ski Jumping,22.30409357
2012,Fencing,26.39181287
1976,Hockey,25.30232558
2008,Handball,28.06976744
2016,Fencing,28.23255814
1928,Cycling,22.6300578
1936,Ice Hockey,24.64739884
1964,Speed Skating,24.15028902
1976,Weightlifting,26.45086705
1936,Cross Country Skiing,25.4
1960,Cross Country Skiing,27.04
1972,Water Polo,24.66857143
1994,Speed Skating,23.76
1960,Canoeing,25.49431818
1984,Handball,25.09659091
1998,Ski Jumping,21.71022727
2012,Handball,28.63068182
1928,Rowing,23.88135593
1948,Equestrianism,37.28813559
1956,Speed Skating,25.29378531
1980,Judo,24.55932203
1998,Speed Skating,24.61016949
2000,Handball,27.67231638
2016,Handball,28.38418079
1904,Athletics,23.74719101
2002,Ski Jumping,23.00561798
2002,Speed Skating,25.85393258
1900,Shooting,35.25698324
1924,Equestrianism,32.39664804
1936,Boxing,22.13407821
1992,Handball,25.81564246
2004,Handball,27.86592179
1984,Weightlifting,24.32044199
1948,Basketball,24.50549451
1952,Water Polo,25.64835165
1996,Handball,26.89010989
1956,Shooting,34.32065217
2014,Bobsleigh,28.76086957
1988,Bobsleigh,27.20540541
1968,Basketball,24.49462366
1972,Weightlifting,26.86021505
2010,Speed Skating,25.24193548
1988,Speed Skating,23.89304813
2014,Speed Skating,25.45454545
1960,Alpine Skiing,23.19680851
1964,Basketball,24.53439153
1992,Hockey,25.32275132
1972,Basketball,24.17368421
1984,Hockey,25.58421053
1988,Hockey,24.92105263
1908,Fencing,29.40314136
1968,Equestrianism,32.39267016
2000,Hockey,25.65445026
2004,Baseball,26.89528796
2008,Baseball,27.06806283
1928,Football,24.61979167
1960,Basketball,23.96875
1996,Hockey,25.38541667
2000,Baseball,26.97916667
2004,Hockey,26.01041667
1984,Equestrianism,31.01554404
1936,Basketball,23.74742268
1984,Biathlon,24.46153846
2000,Equestrianism,36.61025641
1912,Rowing,25.06632653
2008,Hockey,26.25510204
2012,Hockey,26.40816327
2016,Hockey,26.93367347
1906,Shooting,36.06091371
1972,Alpine Skiing,22.2284264
1984,Speed Skating,23.4120603
2006,Speed Skating,25.79396985
1936,Football,24.45771144
1964,Equestrianism,32.50746269
1976,Equestrianism,32.15920398
1980,Cross Country Skiing,24.85572139
1992,Speed Skating,23.36318408
1976,Football,23.95049505
1998,Bobsleigh,28.96534653
2006,Ski Jumping,23.57425743
1956,Cross Country Skiing,26.87745098
1964,Football,24.1127451
1980,Alpine Skiing,21.64215686
1984,Judo,24.85294118
2004,Fencing,25.48039216
1994,Bobsleigh,28.02439024
1920,Gymnastics,26.74757282
1924,Art Competitions,43.65533981
1936,Wrestling,26.13106796
1948,Swimming,21.15533981
1988,Biathlon,24.74396135
1972,Ice Hockey,24.74519231
2008,Equestrianism,37.43062201
1994,Biathlon,26.37619048
2002,Bobsleigh,29.19047619
1936,Swimming,21.03791469
1952,Sailing,35.06103286
1900,Athletics,22.86448598
1928,Equestrianism,36.73364486
1992,Bobsleigh,28.2
2000,Fencing,27.67906977
1956,Rowing,24.08796296
1972,Cross Country Skiing,25.64976959
1976,Ice Hockey,25.10599078
1980,Canoeing,24.39631336
1998,Biathlon,26.88018433
2016,Sailing,28.73732719
2012,Equestrianism,39.08715596
1960,Football,23.30630631
1988,Weightlifting,24.48648649
1964,Sailing,33.24107143
2016,Equestrianism,38.23660714
1964,Hockey,26.21777778
1988,Equestrianism,31.99111111
1984,Football,24.1460177
2004,Judo,26.08810573
2008,Judo,26.13043478
2012,Judo,25.995671
1996,Fencing,27.31623932
2016,Wrestling,26.9957265
1956,Equestrianism,34.27659574
1912,Cycling,24.52966102
1960,Hockey,25.80508475
1972,Football,23.65677966
1984,Canoeing,24.36864407
1996,Judo,24.97457627
1988,Judo,25.34599156
2000,Judo,25.37552743
2012,Sailing,28.79746835
2016,Judo,26.08016878
1952,Equestrianism,34.84033613
1956,Alpine Skiing,24.92468619
1980,Ice Hockey,24.94979079
1984,Ice Hockey,24.27196653
1908,Gymnastics,23.1625
1956,Fencing,30.125
1952,Wrestling,26.56431535
1956,Cycling,23.56016598
1964,Cross Country Skiing,27.04149378
1980,Fencing,24.76348548
1996,Equestrianism,34.80912863
1980,Football,24.16115702
1972,Handball,25.58436214
1996,Weightlifting,25.12345679
1924,Football,24.31557377
1992,Weightlifting,24.77868852
1952,Boxing,22.46153846
2012,Boxing,23.66801619
2016,Boxing,24.75708502
1948,Rowing,25.4233871
1968,Cross Country Skiing,26.39112903
1968,Sailing,32.33333333
1968,Football,23.5
1968,Ice Hockey,24.252
1952,Alpine Skiing,24.49003984
1968,Hockey,25.01185771
1998,Alpine Skiing,25.28063241
2004,Equestrianism,35.59683794
1976,Sailing,29.28346457
1980,Boxing,22.68897638
1936,Equestrianism,35.48046875
1976,Alpine Skiing,21.421875
1980,Shooting,30.72093023
1980,Wrestling,25.13513514
1984,Alpine Skiing,21.65637066
2004,Football,22.41312741
2010,Ice Hockey,28.48461538
2008,Sailing,28.63218391
2004,Sailing,29.97709924
1972,Hockey,25.21673004
1976,Boxing,22.68060837
2012,Wrestling,25.99619772
1948,Alpine Skiing,23.91666667
1964,Alpine Skiing,22.48863636
1996,Football,22.15909091
1960,Equestrianism,32.68679245
1964,Boxing,23.2754717
1988,Ice Hockey,25.51320755
1992,Judo,25.16226415
2012,Canoeing,26.53584906
1992,Ice Hockey,25.8164794
2000,Football,22.13483146
2012,Football,22.33333333
1948,Cycling,24.31716418
1994,Ice Hockey,25.66791045
1964,Ice Hockey,24.57992565
1972,Equestrianism,31.92565056
1988,Football,24.95185185
2016,Football,22.33703704
1952,Shooting,37.0701107
1976,Cross Country Skiing,25.40221402
1968,Alpine Skiing,22.98529412
