year,event,value
2012,Diving,150
1972,Rowing,150
1972,Wrestling,150
1976,Wrestling,150
2012,Wrestling,150
2016,Wrestling,150
1968,Figure Skating,150
2004,Gymnastics,150
2008,Gymnastics,150
1984,Hockey,150
1996,Weightlifting,150
2000,Weightlifting,150
2004,Weightlifting,150
1988,Figure Skating,150
1992,Figure Skating,150
1994,Figure Skating,150
2000,Judo,150
2004,Judo,150
1992,Boxing,150
2000,Shooting,150
2000,Cycling,150
2004,Gymnastics,150
2008,Gymnastics,150
1980,Hockey,150
1996,Gymnastics,150
1988,Weightlifting,150
1996,Weightlifting,150
2012,Gymnastics,150
1988,Diving,150
2012,Diving,150
2016,Diving,150
1984,Athletics,150
2016,Swimming,150
1984,Figure Skating,150
1976,Weightlifting,150
1972,Cross Country Skiing,150
2016,Weightlifting,150
2008,Wrestling,150
2012,Wrestling,150
1972,Figure Skating,150
2016,Weightlifting,150
1980,Gymnastics,150
1984,Gymnastics,150
2004,Gymnastics,150
1992,Rhythmic Gymnastics,150
1992,Table Tennis,150
1996,Table Tennis,150
1994,Short Track Speed Skating,150
1952,Boxing,150
1956,Boxing,150
1960,Boxing,150
1980,Weightlifting,150
2016,Rowing,150
2006,Figure Skating,150
2010,Figure Skating,150
2008,Football,150
2008,Athletics,150
2000,Tennis,150
2016,Judo,150
1960,Weightlifting,150
1964,Weightlifting,150
1968,Weightlifting,150
1972,Weightlifting,150
1976,Weightlifting,150
2008,Table Tennis,150
1984,Hockey,150
1988,Hockey,150
1964,Boxing,150
1980,Weightlifting,150
1988,Weightlifting,150
1992,Weightlifting,150
1998,Ice Hockey,150
1992,Gymnastics,150
1996,Gymnastics,150
2004,Boxing,150
1988,Gymnastics,150
1996,Gymnastics,150
2004,Gymnastics,150
1988,Gymnastics,150
1992,Gymnastics,150
1996,Gymnastics,150
2004,Gymnastics,150
1996,Athletics,150
2000,Athletics,150
2000,Gymnastics,150
2014,Figure Skating,150
1988,Weightlifting,150
2016,Athletics,150
1976,Rowing,150
1972,Athletics,150
1976,Athletics,150
1980,Athletics,150
2008,Gymnastics,150
1992,Biathlon,150
1994,Biathlon,150
1984,Weightlifting,150
1960,Boxing,150
1988,Wrestling,150
2000,Gymnastics,150
1984,Gymnastics,150
2008,Weightlifting,150
1992,Figure Skating,150
1994,Figure Skating,150
2006,Figure Skating,150
2012,Gymnastics,150
1956,Gymnastics,150
1960,Gymnastics,150
1964,Gymnastics,150
2000,Gymnastics,150
2008,Diving,150
2004,Gymnastics,150
2016,Diving,150
2016,Table Tennis,150
1988,Gymnastics,150
1988,Figure Skating,150
1968,Figure Skating,150
2004,Weightlifting,150
2008,Weightlifting,150
1992,Judo,150
2004,Judo,150
2012,Weightlifting,150
2008,Boxing,150
2008,Weightlifting,150
1992,Athletics,150
1996,Athletics,150
1976,Gymnastics,150
2004,Athletics,150
2008,Athletics,150
2016,Diving,150
2006,Figure Skating,150
2000,Boxing,150
2012,Gymnastics,150
2012,Weightlifting,150
2004,Gymnastics,150
2000,Athletics,150
1964,Wrestling,150
1968,Wrestling,150
1972,Wrestling,150
1960,Swimming,150
2004,Rowing,150
2004,Gymnastics,150
2004,Athletics,150
2000,Swimming,150
1976,Weightlifting,150
1980,Weightlifting,150
2000,Gymnastics,150
1996,Athletics,150
2008,Weightlifting,150
2016,Weightlifting,150
1984,Figure Skating,150
1992,Boxing,150
1996,Boxing,150
2000,Boxing,150
1984,Weightlifting,150
1996,Gymnastics,150
2014,Snowboarding,150
1992,Boxing,150
2016,Athletics,150
1988,Boxing,150
1968,Gymnastics,150
1972,Gymnastics,150
1976,Gymnastics,150
2016,Boxing,150
1968,Weightlifting,150
1972,Weightlifting,150
1976,Weightlifting,150
2016,Gymnastics,150
2012,Judo,150
2016,Judo,150
2000,Weightlifting,150
1992,Gymnastics,150
1996,Gymnastics,150
2004,Taekwondo,150
1960,Gymnastics,150
2004,Gymnastics,150
1972,Cycling,150
1964,Swimming,150
2008,Judo,150
2000,Gymnastics,150
2008,Athletics,150
2012,Athletics,150
1984,Gymnastics,150
1988,Gymnastics,150
2008,Wrestling,150
2010,Freestyle Skiing,150
2014,Freestyle Skiing,150
1976,Rowing,150
1992,Weightlifting,150
1996,Weightlifting,150
2000,Weightlifting,150
2004,Weightlifting,150
1964,Weightlifting,150
1968,Weightlifting,150
1972,Weightlifting,150
1976,Weightlifting,150
1968,Gymnastics,150
2004,Athletics,150
1936,Gymnastics,150
2004,Weightlifting,150
2008,Weightlifting,150
2012,Weightlifting,150
1988,Table Tennis,150
1992,Table Tennis,150
2000,Football,150
2004,Football,150
2014,Figure Skating,150
