year,event,value
2000,Rhythmic Gymnastics,18.07142857
2000,Rowing,27.21134021
2000,Sailing,26.91578947
2000,Shooting,29.50222222
2000,Softball,27.49166667
2000,Swimming,20.5126162
2000,Synchronized Swimming,22.94017094
2000,Table Tennis,25.9389313
2000,Taekwondo,24.125
2000,Tennis,23.3968254
2000,Trampolining,24.33333333
2000,Triathlon,27.89583333
2000,Volleyball,24.92753623
2000,Water Polo,25.93589744
2000,Weightlifting,24.2
2002,Alpine Skiing,23.57258065
2002,Biathlon,26.07782101
2002,Bobsleigh,28.3
2002,Cross Country Skiing,26.37570621
2002,Curling,31.14893617
2002,Figure Skating,22.61971831
2002,Freestyle Skiing,24.68
2002,Ice Hockey,23.95512821
2002,Luge,26.31034483
2002,Short Track Speed Skating,21.7
2002,Skeleton,27.30769231
2002,Snowboarding,25.26415094
2002,Speed Skating,25.44155844
2004,Archery,25.33944954
2004,Athletics,26.38761239
2004,Badminton,25.65346535
2004,Basketball,26.11888112
2004,Beach Volleyball,28.5
2004,Canoeing,25.89285714
2004,Cycling,28.13559322
2004,Diving,22.54545455
2004,Equestrianism,34.21186441
2004,Fencing,26.62184874
2004,Football,24.41566265
2004,Gymnastics,18.14398422
2004,Handball,26.70469799
2004,Hockey,25.73125
2004,Judo,25.29299363
2004,Modern Pentathlon,26.6875
2004,Rhythmic Gymnastics,18.17857143
2004,Rowing,26.24615385
2004,Sailing,27.49640288
2004,Shooting,30.90954774
2004,Softball,25.70338983
2004,Swimming,21.03542234
2004,Synchronized Swimming,23.38461538
2004,Table Tennis,25.85606061
2004,Taekwondo,23.1
2004,Tennis,24.6953125
2004,Trampolining,26
2004,Triathlon,28.66
2004,Volleyball,25.35714286
2004,Water Polo,25.76237624
2004,Weightlifting,24.04705882
2004,Wrestling,24.86
2006,Alpine Skiing,23.05617978
2006,Biathlon,27.30461538
2006,Bobsleigh,28
2006,Cross Country Skiing,26.01639344
2006,Curling,28.45652174
2006,Figure Skating,23.38356164
2006,Freestyle Skiing,24.28301887
2006,Ice Hockey,24.325
2006,Luge,24.53333333
2006,Short Track Speed Skating,22.69918699
2006,Skeleton,27.2
2006,Snowboarding,24.36781609
2006,Speed Skating,25.33888889
2008,Archery,25.65957447
2008,Athletics,26.06086142
2008,Badminton,25.06315789
2008,Basketball,25.74825175
2008,Beach Volleyball,28.54166667
2008,Canoeing,26.16666667
2008,Cycling,27.77717391
2008,Diving,22.05494505
2008,Equestrianism,36.06870229
2008,Fencing,25.8902439
2008,Football,24.4
2008,Gymnastics,18.27251732
2008,Handball,26.35672515
2008,Hockey,25.94764398
2008,Judo,25.71794872
2008,Modern Pentathlon,25.25
2008,Rhythmic Gymnastics,19.52631579
2008,Rowing,26.91919192
2008,Sailing,27.36690647
2008,Shooting,30.43925234
2008,Softball,26
2008,Swimming,21.46024096
2008,Synchronized Swimming,22.76068376
2008,Table Tennis,26.704
2008,Taekwondo,22.74603175
2008,Tennis,24.18253968
2008,Trampolining,25.5625
2008,Triathlon,27.58181818
2008,Volleyball,25.45
2008,Water Polo,25.13592233
2008,Weightlifting,23.65517241
2008,Wrestling,24.45454545
2010,Alpine Skiing,23.48026316
2010,Biathlon,26.53079179
2010,Bobsleigh,27.30952381
2010,Cross Country Skiing,26.80626781
2010,Curling,30.23913043
2010,Figure Skating,22.1369863
2010,Freestyle Skiing,25.02352941
2010,Ice Hockey,23.5875
2010,Luge,25.79310345
2010,Short Track Speed Skating,23.19852941
2010,Skeleton,28.47368421
2010,Snowboarding,24.95061728
2010,Speed Skating,25.64444444
2012,Archery,25.3
2012,Athletics,26.18231541
2012,Badminton,25.29787234
2012,Basketball,26.8951049
2012,Beach Volleyball,27.54166667
2012,Boxing,26.19444444
2012,Canoeing,25.9869281
2012,Cycling,26.61157025
2012,Diving,23.17045455
2012,Equestrianism,35.72727273
2012,Fencing,26.3045977
2012,Football,25.075
2012,Gymnastics,19.57068063
2012,Handball,26.96491228
2012,Hockey,25.62303665
2012,Judo,25.8627451
2012,Modern Pentathlon,24.52777778
2012,Rhythmic Gymnastics,19.53684211
2012,Rowing,26.68020305
2012,Sailing,27.42957746
2012,Shooting,28.99563319
2012,Swimming,21.64516129
2012,Synchronized Swimming,22.91452991
2012,Table Tennis,26.6302521
2012,Taekwondo,23.125
2012,Tennis,25.64788732
2012,Trampolining,25.75
2012,Triathlon,27.45454545
2012,Volleyball,26.29370629
2012,Water Polo,24.12745098
2012,Weightlifting,24.15533981
2012,Wrestling,25.85526316
2014,Alpine Skiing,24.1320132
2014,Biathlon,26.31728045
2014,Bobsleigh,27.8974359
2014,Cross Country Skiing,27.22413793
2014,Curling,30.1627907
2014,Figure Skating,22.35135135
2014,Freestyle Skiing,24.20325203
2014,Ice Hockey,24.37341772
2014,Luge,22.79069767
2014,Short Track Speed Skating,23.70149254
2014,Skeleton,27.10526316
2014,Ski Jumping,21.26666667
2014,Snowboarding,25.10869565
2014,Speed Skating,26.01104972
2016,Archery,25.81
2016,Athletics,26.25165563
2016,Badminton,25.67045455
2016,Basketball,27.50714286
2016,Beach Volleyball,28.1875
2016,Boxing,27.08333333
2016,Canoeing,27.33950617
2016,Cycling,27.06367041
2016,Diving,23.41573034
2016,Equestrianism,36.59541985
2016,Fencing,26.86781609
2016,Football,25.67487685
2016,Golf,26.88333333
2016,Gymnastics,19.88772846
2016,Handball,27.61931818
2016,Hockey,25.57216495
2016,Judo,26.46052632
2016,Modern Pentathlon,25.08333333
2016,Rhythmic Gymnastics,20.25
2016,Rowing,26.59817352
2016,Rugby Sevens,26.11486486
2016,Sailing,25.83435583
2016,Shooting,29.44392523
2016,Swimming,22.14060447
2016,Synchronized Swimming,23.49152542
2016,Table Tennis,27.24576271
2016,Taekwondo,24.09375
2016,Tennis,26.53846154
2016,Trampolining,25.75
2016,Triathlon,28.09090909
2016,Volleyball,26.64084507
2016,Water Polo,25.03846154
2016,Weightlifting,24.05825243
2016,Wrestling,25.63392857
