year,event,value
1996,Gymnastics,40
1988,Rhythmic Gymnastics,40
1992,Rhythmic Gymnastics,40
1988,Gymnastics,40
1984,Gymnastics,40
1976,Figure Skating,40
1992,Figure Skating,40
1994,Figure Skating,40
1998,Figure Skating,40
1992,Athletics,40
1976,Swimming,40
2000,Gymnastics,40
1996,Gymnastics,40
1992,Gymnastics,40
1996,Gymnastics,40
2000,Gymnastics,40
2016,Athletics,40
1992,Figure Skating,41
1980,Gymnastics,41
1988,Gymnastics,41
2000,Athletics,41
1976,Gymnastics,41
2004,Gymnastics,41
2008,Athletics,41
1984,Figure Skating,41
1992,Figure Skating,41
1994,Figure Skating,41
1976,Shooting,41
1984,Shooting,41
1976,Rowing,41
1988,Rhythmic Gymnastics,41
1984,Gymnastics,41
1996,Gymnastics,41
1980,Swimming,41
1976,Figure Skating,41
1980,Figure Skating,41
2006,Figure Skating,41
2010,Figure Skating,41
2014,Figure Skating,41
1976,Rowing,41
1980,Rowing,41
1960,Athletics,41
1996,Gymnastics,41
1976,Gymnastics,41
2010,Figure Skating,41
2016,Athletics,41
2004,Athletics,41
2008,Gymnastics,41
1980,Gymnastics,41
1972,Rowing,41
2004,Athletics,41
2008,Athletics,41
2006,Figure Skating,41
2010,Figure Skating,41
1988,Gymnastics,41
2000,Athletics,41
2004,Athletics,41
2012,Athletics,41
1996,Gymnastics,41
1984,Gymnastics,41
1988,Rhythmic Gymnastics,41
1928,Rowing,41
1932,Rowing,41
1968,Gymnastics,41
1972,Gymnastics,41
1976,Gymnastics,41
1988,Gymnastics,41
1988,Athletics,41
2016,Gymnastics,41
1976,Rowing,41
1988,Gymnastics,41
1996,Athletics,41
2006,Figure Skating,41
2004,Athletics,41
2004,Rhythmic Gymnastics,41
1984,Gymnastics,41
2012,Athletics,41
1988,Rhythmic Gymnastics,41
2000,Rhythmic Gymnastics,41
1996,Rhythmic Gymnastics,41
2004,Rhythmic Gymnastics,41
2014,Figure Skating,41
2016,Athletics,41
2004,Athletics,41
1996,Gymnastics,41
1976,Rowing,41
1992,Gymnastics,41
1972,Figure Skating,41
1976,Figure Skating,41
1980,Figure Skating,41
1992,Athletics,41
1996,Athletics,41
2000,Athletics,41
2000,Rhythmic Gymnastics,41
1968,Gymnastics,41
1988,Gymnastics,41
2000,Rhythmic Gymnastics,41
2004,Gymnastics,41
1996,Athletics,41
1988,Gymnastics,41
1996,Rhythmic Gymnastics,41
1984,Rhythmic Gymnastics,41
1964,Swimming,41
1980,Gymnastics,41
1960,Gymnastics,41
1960,Gymnastics,41
1988,Gymnastics,41
2016,Gymnastics,41
1984,Gymnastics,41
1976,Rowing,41
1980,Gymnastics,41
1984,Gymnastics,41
1984,Gymnastics,41
2000,Athletics,42
1972,Athletics,42
1996,Swimming,42
2000,Rhythmic Gymnastics,42
1996,Athletics,42
2000,Athletics,42
1972,Gymnastics,42
1984,Rowing,42
1988,Rowing,42
1994,Figure Skating,42
1998,Figure Skating,42
2002,Figure Skating,42
1972,Gymnastics,42
1988,Athletics,42
1992,Athletics,42
1968,Gymnastics,42
1996,Rhythmic Gymnastics,42
1996,Gymnastics,42
2012,Diving,42
2016,Diving,42
1984,Athletics,42
2008,Rhythmic Gymnastics,42
1976,Rowing,42
1972,Cross Country Skiing,42
2004,Athletics,42
2012,Athletics,42
2000,Gymnastics,42
2004,Gymnastics,42
2008,Gymnastics,42
1984,Shooting,42
2004,Athletics,42
2008,Athletics,42
2012,Athletics,42
1996,Rhythmic Gymnastics,42
1996,Rhythmic Gymnastics,42
1988,Gymnastics,42
1996,Rhythmic Gymnastics,42
1980,Diving,42
2016,Athletics,42
1996,Athletics,42
2000,Athletics,42
2016,Rhythmic Gymnastics,42
1996,Gymnastics,42
1988,Gymnastics,42
1996,Diving,42
1992,Rhythmic Gymnastics,42
2000,Athletics,42
2004,Athletics,42
2014,Figure Skating,42
1988,Athletics,42
2000,Athletics,42
1992,Athletics,42
2000,Rhythmic Gymnastics,42
1994,Figure Skating,42
1998,Figure Skating,42
2002,Figure Skating,42
2004,Rhythmic Gymnastics,42
1992,Figure Skating,42
1994,Figure Skating,42
2006,Figure Skating,42
2004,Athletics,42
2012,Athletics,42
1988,Gymnastics,42
2004,Diving,42
1972,Athletics,42
2008,Rhythmic Gymnastics,42
2012,Rhythmic Gymnastics,42
1988,Gymnastics,42
2012,Athletics,42
1980,Gymnastics,42
2016,Athletics,42
2016,Athletics,42
2016,Athletics,42
2008,Athletics,42
1988,Gymnastics,42
2004,Wrestling,42
1992,Gymnastics,42
2000,Rhythmic Gymnastics,42
1984,Athletics,42
1976,Gymnastics,42
1988,Athletics,42
1996,Rhythmic Gymnastics,42
1984,Figure Skating,42
1984,Athletics,42
2016,Gymnastics,42
2008,Gymnastics,42
2012,Gymnastics,42
1992,Gymnastics,42
2008,Gymnastics,42
1988,Gymnastics,42
1984,Gymnastics,42
1988,Gymnastics,42
1976,Rowing,42
1980,Rowing,42
2000,Gymnastics,42
1992,Athletics,42
1996,Athletics,42
2004,Athletics,42
1984,Gymnastics,42
2000,Athletics,42
1968,Athletics,42
1996,Gymnastics,42
2012,Athletics,42
2016,Athletics,42
1988,Gymnastics,42
1996,Gymnastics,42
1984,Gymnastics,42
2008,Gymnastics,42
1996,Gymnastics,42
1952,Athletics,42
2000,Gymnastics,42
1980,Athletics,42
2016,Athletics,42
1984,Gymnastics,42
1980,Gymnastics,42
2016,Archery,42
2000,Diving,42
1988,Rhythmic Gymnastics,42
1996,Gymnastics,42
1988,Gymnastics,42
1992,Athletics,42
1996,Athletics,42
2000,Athletics,42
1988,Rhythmic Gymnastics,42
2016,Athletics,42
1996,Gymnastics,42
1976,Rowing,42
1996,Athletics,42
2000,Athletics,42
1992,Rhythmic Gymnastics,42
1996,Rhythmic Gymnastics,42
2000,Gymnastics,42
1996,Rhythmic Gymnastics,42
2008,Athletics,42
1992,Figure Skating,42
2000,Rhythmic Gymnastics,42
2004,Rhythmic Gymnastics,42
1992,Athletics,42
1996,Rhythmic Gymnastics,42
2000,Rhythmic Gymnastics,42
1996,Athletics,42
2000,Athletics,42
2008,Athletics,42
1996,Table Tennis,42
1984,Figure Skating,42
1988,Figure Skating,42
1976,Rowing,42
1980,Rowing,42
2000,Athletics,42
1976,Rowing,42
1980,Rowing,42
1992,Figure Skating,42
2012,Modern Pentathlon,42
1980,Gymnastics,42
2004,Rowing,42
1988,Athletics,42
1992,Athletics,42
1996,Table Tennis,42
2000,Table Tennis,42
2004,Athletics,43
1998,Figure Skating,43
1996,Rhythmic Gymnastics,43
2008,Athletics,43
2012,Athletics,43
2000,Athletics,43
2004,Athletics,43
2000,Equestrianism,43
2004,Equestrianism,43
2008,Athletics,43
2012,Athletics,43
1988,Gymnastics,43
1994,Figure Skating,43
2004,Athletics,43
2008,Athletics,43
2004,Rhythmic Gymnastics,43
1968,Gymnastics,43
2016,Athletics,43
1972,Gymnastics,43
2000,Rhythmic Gymnastics,43
2012,Diving,43
2000,Rhythmic Gymnastics,43
2004,Gymnastics,43
1984,Gymnastics,43
2008,Gymnastics,43
2012,Gymnastics,43
2006,Snowboarding,43
2010,Snowboarding,43
2008,Athletics,43
2012,Athletics,43
2016,Athletics,43
2008,Athletics,43
1984,Rhythmic Gymnastics,43
1904,Athletics,43
1988,Gymnastics,43
1996,Gymnastics,43
2004,Rhythmic Gymnastics,43
1976,Gymnastics,43
1976,Gymnastics,43
1980,Gymnastics,43
1988,Swimming,43
